model,MAE,RMSE,R2,AdjR2
CatBoost,0.26830885352536155,0.34669994691959755,0.10891851688620635,0.10871877982963352
Ridge,0.2785184688217906,0.35204555550398575,0.08122831960593246,0.08102237575614768
RandomForest,0.27705311921781317,0.3530391986871256,0.07603456232097727,0.07582745428384019
ElasticNet,0.2958604204244294,0.3624930023746087,0.02588748442094324,0.025669135852019354
