metric,f_statistic,p_value,significant,sample_sizes
whiff_percent,26.82399957626318,4.198860399314521e-220,True,"[117, 216, 318, 494, 1166, 307, 107, 367, 194, 624, 466, 201, 339, 186, 158, 199, 213, 69, 55, 53, 102, 207, 169, 358, 167, 141, 1134, 340, 200, 133, 201, 71, 116, 458, 535, 94, 79, 131, 95, 70, 122, 54, 143, 90, 69, 50, 179, 84]"
chase_percent,21.01014039844248,2.9043012335835954e-168,True,"[117, 216, 318, 494, 1166, 307, 107, 367, 194, 624, 466, 201, 339, 186, 158, 199, 213, 69, 55, 53, 102, 207, 169, 358, 167, 141, 1134, 340, 200, 133, 201, 71, 116, 458, 535, 94, 79, 131, 95, 70, 122, 54, 143, 90, 69, 50, 179, 84]"
groundball_percent,13.939360094472974,1.111385871387788e-104,True,"[117, 216, 318, 494, 1166, 307, 107, 367, 194, 624, 466, 201, 339, 186, 158, 199, 213, 69, 55, 53, 102, 207, 169, 358, 167, 141, 1134, 340, 200, 133, 201, 71, 116, 458, 535, 94, 79, 131, 95, 70, 122, 54, 143, 90, 69, 50, 179, 84]"
flyball_percent,16.10322162585996,3.748705345429445e-124,True,"[117, 216, 318, 494, 1166, 307, 107, 367, 194, 624, 466, 201, 339, 186, 158, 199, 213, 69, 55, 53, 102, 207, 169, 358, 167, 141, 1134, 340, 200, 133, 201, 71, 116, 458, 535, 94, 79, 131, 95, 70, 122, 54, 143, 90, 69, 50, 179, 84]"
xwoba,11.154076909846268,1.0236197773451163e-79,True,"[117, 216, 318, 494, 1166, 307, 107, 367, 194, 624, 466, 201, 339, 186, 158, 199, 213, 69, 55, 53, 102, 207, 169, 358, 167, 141, 1134, 340, 200, 133, 201, 71, 116, 458, 535, 94, 79, 131, 95, 70, 122, 54, 143, 90, 69, 50, 179, 84]"
velocity,535.2396802967103,0.0,True,"[117, 216, 318, 494, 1166, 307, 107, 367, 194, 624, 466, 201, 339, 186, 158, 199, 213, 69, 55, 53, 102, 207, 169, 358, 167, 141, 1134, 340, 200, 133, 201, 71, 116, 458, 535, 94, 79, 131, 95, 70, 122, 54, 143, 90, 69, 50, 179, 84]"
