cluster,whiff_percent_mean,chase_percent_mean,groundball_percent_mean,flyball_percent_mean,xwoba_mean,stuff_plus_mean,velocity_mean,sample_size
cube17_cluster1,40.87612126394312,11.17344498253496,64.30215841157546,29.8725988699779,0.9224605830167355,0.0,77.61844660194176,206
cube62_cluster1,43.905602272123964,11.461899629902181,55.82404893441903,44.17595106558091,0.738087606837607,0.0,92.08080000000004,125
cube61_cluster1,36.678592715083326,11.551168755619486,44.518709657776185,55.48129034222394,0.7402281746031739,0.0,87.78124999999999,112
cube62_cluster3,37.12978194439592,14.18258863676339,50.02220935360652,40.1472821718172,0.7737045951771935,0.0,87.23593220338985,295
cube69_cluster0,39.51817285824953,12.839437929696734,62.46214136231404,37.537858637685936,1.1707316017316016,0.0,92.49415584415584,154
cube18_cluster0,24.315056373502948,7.27968733326649,63.38379162376075,36.61620837623919,0.8512878506983071,0.0,81.52688172043011,93
cube61_cluster0,40.2990990803519,11.878495898501486,64.73362793679539,35.12748317431566,0.9552018032989159,0.0,93.77652777777777,720
cube33_cluster0,40.782150107517765,12.26914822174981,51.498476073566835,48.501523926433165,0.94012386039886,0.0,86.63833333333332,60
cube60_cluster0,48.14654444554425,12.245229675957903,55.40704287608835,40.26863279958767,0.9633980278119129,0.0,94.16508108108108,925
cube42_cluster0,45.83895906856491,11.798493107823747,46.63367624640035,52.44889256093913,1.1473105250568825,0.0,88.09266055045873,109
cube67_cluster0,45.55455453840597,12.705353885004124,61.925590761999196,37.035448199039706,1.0106484023663673,0.0,89.44779220779219,385
cube59_cluster1,40.07854428525232,12.343365648084985,67.58131924028386,30.704395045430438,0.983265157682292,0.0,84.76057142857145,175
cube51_cluster0,50.31624229883192,11.179682785282091,58.294569512689854,40.85072963260933,1.121096183783379,0.0,91.24401709401714,234
cube25_cluster0,42.409782290659216,11.98767740436393,69.34044098437782,26.195273301336517,0.668662037037037,0.0,83.94999999999996,112
cube66_cluster0,48.08309082663671,12.290688037808968,61.563437809558515,38.22057946905902,1.1157881654217565,0.0,84.78790496760261,463
cube24_cluster0,50.71643932832857,12.056417772190288,54.41095677519415,44.419452581531004,0.9585851915445524,0.0,84.14970760233918,171
cube16_cluster0,49.147102746317074,14.952583261956804,58.08496377397803,36.108584613118715,0.8620496098898719,0.0,82.43096774193553,155
cube32_cluster0,56.38909408242572,9.905028092361281,63.08643012969935,36.913569870300634,1.1552169050312433,0.0,87.47692307692311,104
cube68_cluster0,43.87821366510927,11.873549286535672,69.0780482000072,29.759161102318117,0.8156037285674123,0.0,92.42054263565896,258
cube66_cluster1,40.95021566179548,12.322570227611115,58.185703908736755,41.81429609126327,0.8050315717597155,0.0,94.11485148514853,101
cube59_cluster2,38.8671875,10.101980356570937,64.87554112554113,35.124458874458874,1.2028846153846158,0.0,92.85624999999999,16
cube15_cluster0,53.561978480456716,12.088922531372429,64.70774711399713,35.292252886002906,1.0832846320346325,0.0,84.62499999999999,60
cube59_cluster0,45.57819913588379,12.048173498049584,57.03352413649732,33.29796757620982,0.8342310854260434,0.0,90.16160220994477,362
cube43_cluster0,40.18710853405627,11.863725334089485,58.926690143429475,41.07330985657048,1.0202965580908299,0.0,88.26666666666665,96
cube52_cluster0,35.46918242219397,10.53012729458975,66.08264180755613,33.246217252846584,1.0464885732587084,0.0,90.55570469798658,149
cube10_cluster0,36.206049005695895,9.731577165634997,64.18536935539159,35.81463064460845,0.9704512785080226,0.0,81.62771084337349,83
cube8_cluster1,54.49681827765321,9.658363767529913,53.02574585257098,46.97425414742904,1.2309673480641223,0.0,78.79032258064517,31
cube9_cluster0,45.1704010896414,14.097170953946584,70.82784708526418,26.178140938687903,1.0138100806061527,0.0,81.35628742514972,167
cube53_cluster0,37.809538945902574,12.220743429303791,54.651916896235086,45.348083103764914,0.8178030303030301,0.0,90.46363636363635,22
cube62_cluster0,72.47574095951373,12.440450348887198,81.72651762725292,18.27348237274708,0.9815767973856206,0.0,87.16176470588235,34
cube2_cluster0,47.79085297418632,12.824116498140038,76.93130815544608,23.068691844553914,0.9652108125109531,0.0,81.2416666666667,60
cube50_cluster0,49.29000386608947,9.840418471126116,57.60194485083759,28.20450676206566,0.791097569038044,0.0,94.30354838709681,310
cube41_cluster0,46.07714941684946,11.026131393944945,67.65952224104393,23.738327221321637,1.0445897050451127,0.0,86.70752688172045,93
cube15_cluster1,37.489951367446835,11.054114947741894,58.124549846288936,37.875450153711036,0.8295740740740738,0.0,85.87466666666668,75
cube1_cluster0,34.5313659734903,8.943564303700688,58.013783670033675,28.652882996633004,0.8323626373626375,0.0,79.99499999999999,60
cube31_cluster0,49.76184932060609,9.141867832143266,64.45919085911589,28.64425741674619,0.8100238726790453,0.0,86.59137931034486,58
cube17_cluster0,46.108429248720796,12.122354116497814,63.43609311365342,36.56390688634659,1.0589975547914692,0.0,82.78829787234042,94
cube8_cluster0,42.29703081896503,13.47412851950187,39.360875706214685,60.63912429378532,1.039232272435663,0.0,77.85254237288135,59
cube1_cluster1,45.36841453317426,12.484388348853939,58.152910685805445,41.8470893141946,0.8680997828281112,0.0,74.54210526315791,57
cube23_cluster0,55.097217597217636,11.77129582741736,58.14407814407812,29.03540903540903,0.9537334460411386,0.0,85.73076923076924,39
cube3_cluster1,41.71976164051548,9.838231439660584,54.85900959710484,45.14099040289516,1.1531594551512876,0.0,78.52761904761904,105
cube16_cluster1,29.93175805675808,12.025494619581231,71.46739130434781,28.532608695652172,0.91738683127572,0.0,86.69999999999997,36
cube3_cluster0,36.54463352739214,7.813575652009578,51.59779614325068,48.40220385674932,1.4284236596736601,0.0,80.38181818181818,22
cube44_cluster0,50.090740354432036,6.509287925696592,50.32389532389533,49.676104676104664,0.7418918918918922,0.0,87.64324324324325,37
cube25_cluster1,31.37978912152719,10.844648050507905,58.73603141045004,41.26396858954997,0.9082272056109265,0.0,79.02325581395348,43
cube61_cluster2,44.00891590457997,12.622309988764513,69.38332601376071,30.616673986239224,1.1084447895100078,0.0,88.0782608695652,92
cube62_cluster2,33.79918588873812,10.597911344179996,56.08830845771143,43.911691542288565,0.7796716417910452,0.0,90.22537313432835,67
cube33_cluster1,34.55674760022584,15.993219951854455,40.43478260869567,59.56521739130436,0.5410628019323671,0.0,84.55217391304348,23
