origin_cluster,origin_degree,origin_train_n,reassigned_to,is_graph_neighbor,dist_to_own_centroid,dist_to_reassigned_centroid,margin_normalized
cube1_cluster0,3,11,cube8_cluster1,False,1.431619095846612,0.973711699980973,0.12024495479665968
cube1_cluster0,3,11,cube8_cluster1,False,1.420742739893025,1.2420381920923969,0.046927218180483884
cube1_cluster1,3,12,cube8_cluster1,False,1.1239258022344139,1.1127834842569098,0.002925935535507532
cube1_cluster1,3,12,cube8_cluster0,True,0.7631202305005286,0.576094839816149,0.0491122437674486
cube1_cluster1,3,12,cube8_cluster0,True,0.7658103027029096,0.7043350817364786,0.01614318797417322
cube1_cluster1,3,12,cube8_cluster0,True,0.8275939338277731,0.6067472456988001,0.057993603664904414
cube2_cluster0,7,105,cube8_cluster1,False,1.7224724503179798,1.1127834842569098,0.16010228886005382
cube2_cluster0,7,105,cube1_cluster1,True,1.5664849489149333,1.5445105458623054,0.00577040494563695
cube2_cluster0,7,105,cube3_cluster0,True,1.243413433499397,0.8045999248608204,0.11523096369880825
cube2_cluster0,7,105,cube3_cluster1,True,2.0065784563683473,0.9023160785486256,0.289975617130119
cube2_cluster0,7,105,cube1_cluster1,True,1.8542283047685968,1.7419642528061474,0.029480165586745762
cube2_cluster0,7,105,cube8_cluster1,False,1.6791997534918552,1.182937946659207,0.13031669518482716
cube2_cluster0,7,105,cube1_cluster1,True,1.2213166276678347,0.9274901435269266,0.07715785467232755
cube2_cluster0,7,105,cube3_cluster0,True,1.8528757631340727,1.7683067682758609,0.022207535968491867
cube2_cluster0,7,105,cube8_cluster1,False,1.2838362329060622,0.973711699980973,0.0814376679206435
cube2_cluster0,7,105,cube3_cluster0,True,1.1772949277687232,0.6292112863946143,0.1439249360828325
cube2_cluster0,7,105,cube1_cluster1,True,1.7143868654475471,1.3588250057756917,0.09336935836739295
cube2_cluster0,7,105,cube3_cluster1,True,2.006688522382259,0.49796520874270883,0.3961857097902961
cube2_cluster0,7,105,cube3_cluster0,True,1.025408668386901,0.8084097357031089,0.05698319591925154
cube2_cluster0,7,105,cube3_cluster1,True,2.557257292531279,1.440834892320052,0.29316879845017346
cube2_cluster0,7,105,cube3_cluster0,True,1.2620088941361978,0.4523165387587285,0.21262251177994268
cube2_cluster0,7,105,cube3_cluster0,True,1.5525759333529259,0.9469495916123419,0.15903545726444446
cube2_cluster0,7,105,cube3_cluster0,True,1.138620582720942,0.737920278894414,0.10522256324238637
cube2_cluster0,7,105,cube3_cluster0,True,1.5190139926661343,1.0530668624731858,0.12235616221434498
cube2_cluster0,7,105,cube3_cluster1,True,2.3641841106220878,0.7835961049638057,0.4150571382085519
cube2_cluster0,7,105,cube1_cluster1,True,1.5033125646866097,1.437768777434756,0.01721157990995538
cube2_cluster0,7,105,cube1_cluster0,True,1.4337607087608848,0.546145777376117,0.23308472032742422
cube2_cluster0,7,105,cube1_cluster0,True,1.3423090177829302,0.9178484529957117,0.11146192851792214
cube2_cluster0,7,105,cube1_cluster0,True,1.4594505151667339,0.6068807420618716,0.22388197865682338
cube2_cluster0,7,105,cube8_cluster0,True,1.0221374626301798,1.0090730615327619,0.003430668151657013
cube2_cluster0,7,105,cube8_cluster0,True,0.9394881580955164,0.576094839816149,0.0954258732757665
cube2_cluster0,7,105,cube9_cluster0,True,1.185407662673857,1.021012478542337,0.043169627010094185
cube2_cluster0,7,105,cube1_cluster0,True,1.4410288518600785,0.8426689564519367,0.15712731269489652
cube2_cluster0,7,105,cube3_cluster0,True,1.077220525811425,0.923388740341389,0.040395713755978585
cube2_cluster0,7,105,cube9_cluster0,True,0.754208770320832,0.7375624015485445,0.00437128091536563
