pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
519326,CH,cube59_cluster0,SI,cube60_cluster0,True
519326,FF,cube60_cluster0,SI,cube60_cluster0,True
519326,SL,cube16_cluster0,ST,cube9_cluster0,False
527048,CH,cube66_cluster0,FF,cube59_cluster0,True
527048,CH,cube66_cluster0,SI,cube59_cluster0,True
527048,FC,cube50_cluster0,FF,cube59_cluster0,False
527048,FC,cube50_cluster0,SI,cube59_cluster0,False
527048,FF,cube59_cluster0,SI,cube59_cluster0,True
534910,CU,cube2_cluster0,ST,cube10_cluster0,True
534910,FF,cube67_cluster0,SI,cube61_cluster0,True
541640,CH,cube60_cluster0,FC,cube51_cluster0,False
541640,CH,cube60_cluster0,FF,cube60_cluster0,True
541640,CH,cube60_cluster0,SI,cube60_cluster0,True
541640,FC,cube51_cluster0,FF,cube60_cluster0,False
541640,FC,cube51_cluster0,SI,cube60_cluster0,False
541640,FF,cube60_cluster0,SI,cube60_cluster0,True
542881,FC,cube50_cluster0,FF,cube59_cluster0,False
542881,FC,cube50_cluster0,SI,cube60_cluster0,False
542881,FC,cube50_cluster0,SL,cube42_cluster0,False
542881,FF,cube59_cluster0,SI,cube60_cluster0,True
542888,FF,cube60_cluster0,SI,cube60_cluster0,True
542888,ST,cube24_cluster0,SV,cube16_cluster0,False
543101,FF,cube67_cluster0,FS,cube60_cluster0,True
543101,FF,cube67_cluster0,SI,cube67_cluster0,True
543101,FS,cube60_cluster0,SI,cube67_cluster0,True
543135,FC,cube52_cluster0,FS,cube60_cluster0,False
543135,FC,cube52_cluster0,SL,cube33_cluster0,False
543135,FF,cube68_cluster0,FS,cube60_cluster0,True
543135,FF,cube68_cluster0,SI,cube68_cluster0,True
543135,FS,cube60_cluster0,SI,cube68_cluster0,True
543243,CH,cube60_cluster0,FF,cube51_cluster0,False
543243,CH,cube60_cluster0,PO,cube51_cluster0,False
543243,CH,cube60_cluster0,SI,cube60_cluster0,True
543243,CS,cube2_cluster0,CU,cube2_cluster0,True
543243,CS,cube2_cluster0,ST,cube9_cluster0,False
543243,CU,cube2_cluster0,ST,cube9_cluster0,False
543243,FC,cube24_cluster0,SL,cube16_cluster0,True
543243,FF,cube51_cluster0,PO,cube51_cluster0,True
543243,FF,cube51_cluster0,SI,cube60_cluster0,False
543243,PO,cube51_cluster0,SI,cube60_cluster0,False
543243,SL,cube16_cluster0,ST,cube9_cluster0,False
543391,FF,cube50_cluster0,SI,cube59_cluster0,True
543518,FF,cube60_cluster0,FS,cube59_cluster0,False
543518,FF,cube60_cluster0,SI,cube60_cluster0,True
543518,FS,cube59_cluster0,SI,cube60_cluster0,False
543859,FF,cube61_cluster0,SI,cube61_cluster0,True
544150,CH,cube60_cluster0,FC,cube51_cluster0,False
544150,CH,cube60_cluster0,FF,cube60_cluster0,True
