pitcher,pitch_type,pitch_count_pt,mean_xw_pt,mean_miss_pt,mean_chase_pt,z_xw_pt,z_miss_pt,z_chase_pt,stuff_z_pt,stuff_plus_pt,total_pitches
405395,CU,4,0.39598143718547135,0.13611626581778632,0.517406158845622,-3.6446890610977847,-5.543432385377102,0.46482458347624883,-2.9077656209995455,53.39808036530561,7
405395,FA,3,0.4385362591038057,0.147139055801892,0.4798919480343387,-0.7510697549314597,-0.9675704402308144,0.253192965317826,-0.4884824099481493,89.56436124857312,7
424144,SI,17,0.3501411425740516,0.4308846941538218,0.49131153688690443,-0.31644640903996013,1.983569985547372,1.2905771409114781,0.98590023913963,118.22867182239506,23
424144,SL,6,0.3124817527729871,0.45605821353407583,0.4313235885611271,-0.8925051805296345,-2.640812089883317,-2.415493579487699,-1.9829369499668834,67.9083787518193,23
425794,CH,57,0.28535367064296974,0.5989012304332,0.5639619847041226,0.8337241583383428,1.0749708092003845,-0.09946784514683267,0.6030757074639649,110.2230085523031,1282
425794,CS,4,0.3341428498694531,0.29078579262449394,0.32277702132861574,0.5162697221425663,0.12176466882714299,-1.0282177266828674,-0.13006111190438602,97.52868866135337,1282
425794,CU,427,0.2955327482436398,0.45191557348777095,0.4614815738291006,-0.3565648440219444,-0.8182218968441146,-0.4799374703966824,-0.5515747370875804,91.16007102338352,1282
425794,FC,296,0.33178867146755714,0.5276733377407712,0.4909699159894494,-0.31357563791883925,0.3974367655413113,0.0033393251795631536,0.029066817600678387,100.4666683311096,1282
425794,FF,124,0.38216590997681965,0.35800910593698104,0.4050185903728532,-1.1874536433176095,-1.256441162846912,-1.009735017602418,-1.1512099412556465,80.43684944192249,1282
425794,SI,373,0.35847537238435967,0.36963544179018776,0.443150193093845,-0.7032319940529107,0.6149830283768459,-0.22580012637521513,-0.10468303068375996,98.06447697652123,1282
425794,SL,1,0.3150821730410907,0.466464633459951,0.3764374201666946,-0.9898513713713812,-2.404256786684406,-3.8189049394883217,-2.4043376991813696,61.08847797902028,1282
