pitcher,total_pitches,weighted_stuff_z,weighted_stuff_plus_by_pt,stuff_plus_overall,stable
405395,27.0,-0.6579563991792655,90.08712419674445,83.44608566762959,False
424144,73.0,-0.3868873559092892,93.91914884202677,89.36642902492852,True
425794,4918.0,-0.40324591043231944,93.34699858065939,89.00914639893357,True
425844,4551.0,-0.8614951556652053,86.01157897258591,79.00065246589634,True
425877,40.0,-1.337274071581064,78.71575254112027,68.60929788550655,False
434378,6981.0,0.732568115282201,112.12092920406899,113.816143690648,True
434671,1232.0,-0.8657576557479785,85.9798001992551,78.90755639064514,True
444876,24.0,-1.5716154876163893,74.87120364101608,63.49111238919013,False
445276,2350.0,0.28871798220476474,104.51153779475901,104.12213674945664,True
445926,2576.0,-0.456994464191301,92.63632519769418,87.8352392298494,True
446321,471.0,-0.3669091162177053,93.5783701354345,89.80276818495128,True
446372,3528.0,0.14070861565641116,102.29631624622995,100.88950546300674,True
448179,4604.0,-0.7814240022620281,87.38645765810008,80.74946419092105,True
448281,55.0,0.6366238940163845,110.58659235162364,111.72065271834776,True
450203,7667.0,0.2887716510763823,104.48432429250549,104.12330891631031,True
453178,1181.0,-0.5389684049399227,91.08936993266386,86.04486925720977,True
453268,1895.0,0.27856607989212107,104.66597140522703,103.90041188299617,True
453286,5551.0,0.02791339968918066,100.5174410850425,98.4259766161454,True
453343,886.0,-1.0223249026533363,83.71303643846674,75.48801482660338,True
455117,30.0,-0.9953662047929858,83.36985859879069,76.07681222623856,False
455119,2007.0,0.09966124070041883,101.74484514594202,99.99300119706874,True
456034,596.0,-0.4880339736462554,91.94786247401811,87.15731396254976,True
456501,3232.0,-0.9720043661073827,84.26420187695248,76.58705162800914,True
456713,1103.0,1.0403753780004528,117.04830964368149,120.53887625051243,True
458677,555.0,0.48061127778627266,107.89187302072865,108.31322468816563,True
458681,7178.0,0.06375772064077002,101.02135230608262,99.20884243100453,True
459429,629.0,-0.11396732565727563,98.2288272364949,95.3271992725553,True
461325,113.0,-0.828533039028669,86.22363276481855,79.72056886032308,True
468504,786.0,-0.6029695277834899,89.91390990607425,84.6470385867809,True
471911,5591.0,0.2213634625433594,103.59917665817636,102.65106547458478,True
472551,178.0,-1.2399750390854782,79.23049069048223,70.73437891194133,True
472610,2751.0,0.4865254406024818,108.3746615330689,108.44239426843399,True
475479,1151.0,-0.8020631878305307,87.15396080012582,80.29868949637635,True
476595,1257.0,0.47343593702622483,107.47784535202011,108.15651007224102,True
